"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GPUs","GPU model","GPU memory","CUDA Compute Capability","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel AVX-512","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Max Throughput (128K)","EBS Optimized: Max IOPS (16K)","EBS Exposed as NVMe","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","On EMR","Linux On Demand cost","Linux Reserved cost","RHEL On Demand cost","RHEL Reserved cost","SLES On Demand cost","SLES Reserved cost","Windows On Demand cost","Windows Reserved cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge","EMR cost"
"M5 General Purpose 12xlarge","m5.12xlarge","192.0 GiB","168 units","48 vCPUs","0","None","0 GiB","0","0","3.5 units","Intel Xeon Platinum 8175 (Skylake)","3.1 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","10 Gigabit","9500.0 Mbps","1187.5 Mbps","40000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","HVM","Yes","$2.304000 hourly","$1.452000 hourly","$2.434 hourly","$1.582 hourly","$2.404 hourly","$1.485 hourly","$4.512000 hourly","$3.660000 hourly","$5.323 hourly","$4.471 hourly","$10.272 hourly","$9.42 hourly","$22.512 hourly","$21.66 hourly","$3.115 hourly","$2.263 hourly","$8.064 hourly","$7.212 hourly","$20.304 hourly","$19.452 hourly","0","$0.270 hourly"
"C5 High-CPU Quadruple Extra Large","c5d.4xlarge","32.0 GiB","73 units","16 vCPUs","0","None","0 GiB","0","0","4.562 units","Intel Xeon Platinum 8124M","3 GHz","Yes","Yes","Yes","Yes","400 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","HVM","Yes","$0.768000 hourly","$0.484000 hourly","$0.898 hourly","$0.614 hourly","$0.868 hourly","$0.517 hourly","$1.504000 hourly","$1.220000 hourly","$1.774 hourly","$1.49 hourly","$3.424 hourly","$3.14 hourly","$7.504 hourly","$7.22 hourly","$1.038 hourly","$0.754 hourly","$2.688 hourly","$2.404 hourly","$6.768 hourly","$6.484 hourly","0","$0.192 hourly"
"R5 24xlarge","r5.24xlarge","768.0 GiB","337 units","96 vCPUs","0","None","0 GiB","0","0","3.51 units","Intel Xeon Platinum 8175 (Skylake)","3.1 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","25 Gigabit","19000.0 Mbps","2375.0 Mbps","80000.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","HVM","Yes","$6.048000 hourly","$3.810000 hourly","$6.178 hourly","$3.94 hourly","$6.198 hourly","$3.87 hourly","$10.464000 hourly","$8.226000 hourly","$12.086 hourly","$9.849 hourly","$21.984 hourly","$19.746 hourly","$46.464 hourly","$44.226 hourly","$7.67 hourly","$5.433 hourly","$17.568 hourly","$15.33 hourly","$42.048 hourly","$39.81 hourly","0","$0.270 hourly"
"C5N Extra Large","c5n.xlarge","10.5 GiB","20 units","4 vCPUs","0","None","0 GiB","0","0","5 units","Intel Xeon Platinum 8124M","3 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 25 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","Yes","$0.216000 hourly","$0.136000 hourly","$0.276 hourly","$0.196 hourly","$0.341 hourly","$0.186 hourly","$0.400000 hourly","$0.320000 hourly","$0.468 hourly","$0.388 hourly","$0.88 hourly","$0.8 hourly","$1.9 hourly","$1.82 hourly","$0.284 hourly","$0.204 hourly","$0.696 hourly","$0.616 hourly","$1.716 hourly","$1.636 hourly","0","$0.054 hourly"
"P3DN 24xlarge","p3dn.24xlarge","768.0 GiB","337 units","96 vCPUs","8","NVIDIA Tesla V100","256 GiB","7.0","0","3.51 units","Intel Xeon Platinum 8175 (Skylake)","2.5 GHz","Yes","Yes","Yes","Yes","1800 GiB               (2 * 900 GiB NVMe SSD)","Yes","Yes","64-bit","100 Gigabit","19000.0 Mbps","2375.0 Mbps","80000.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","Unknown","No","$31.212000 hourly","$19.215000 hourly","$31.342 hourly","$19.345 hourly","$31.362 hourly","$19.275 hourly","$35.628000 hourly","$23.631000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"M5ZN 6xlarge","m5zn.6xlarge","96.0 GiB","0 units","24 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8252","4.5 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","50 Gigabit","9500.0 Mbps","1187.5 Mbps","40000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","$1.982000 hourly","$1.248700 hourly","$2.112 hourly","$1.3787 hourly","$2.132 hourly","$1.3087 hourly","$3.086000 hourly","$2.352700 hourly","$3.4916 hourly","$2.7583 hourly","$5.966 hourly","$5.2327 hourly","$12.086 hourly","$11.3527 hourly","$2.3876 hourly","$1.6543 hourly","$4.862 hourly","$4.1287 hourly","$10.982 hourly","$10.2487 hourly","0","unavailable"
"D3EN 6xlarge","d3en.6xlarge","96.0 GiB","0 units","24 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","Yes","Yes","Yes","Yes","167760 GiB               (12 * 13980 GiB HDD)","Yes","N/A","64-bit","40 Gigabit","N/A","0 Mbps","0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","$3.154000 hourly","$1.987000 hourly","$3.284 hourly","$2.117 hourly","$3.304 hourly","$2.047 hourly","$4.258000 hourly","$3.091000 hourly","$4.664 hourly","$3.497 hourly","$7.138 hourly","$5.971 hourly","$13.258 hourly","$12.091 hourly","$3.56 hourly","$2.393 hourly","$6.034 hourly","$4.867 hourly","$12.154 hourly","$10.987 hourly","unavailable","unavailable"
"C5 High-CPU Metal","c5d.metal","192.0 GiB","375 units","96 vCPUs","0","None","0 GiB","0","0","3.906 units","Intel Xeon Platinum 8275L","3 GHz","Yes","Yes","Yes","Yes","3600 GiB               (4 * 900 GiB NVMe SSD)","Yes","Yes","64-bit","25 Gigabit","19000.0 Mbps","2375.0 Mbps","80000.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","HVM","No","$4.608000 hourly","$2.903000 hourly","$4.738 hourly","$3.033 hourly","$4.708 hourly","$2.936 hourly","$9.024000 hourly","$7.319000 hourly","$10.646 hourly","$8.941 hourly","$20.544 hourly","$18.839 hourly","$45.024 hourly","$43.319 hourly","$6.23 hourly","$4.525 hourly","$16.128 hourly","$14.423 hourly","$40.608 hourly","$38.903 hourly","0","unavailable"
"M5 General Purpose 16xlarge","m5d.16xlarge","256.0 GiB","256 units","64 vCPUs","0","None","0 GiB","0","0","4 units","Intel Xeon Platinum 8175 (Skylake)","3.1 GHz","Yes","Yes","Yes","Yes","2400 GiB               (4 * 600 GiB NVMe SSD)","Yes","Yes","64-bit","20 Gigabit","13600.0 Mbps","1700.0 Mbps","60000.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","HVM","No","$3.616000 hourly","$2.278000 hourly","$3.746 hourly","$2.408 hourly","$3.716 hourly","$2.311 hourly","$6.560000 hourly","$5.222000 hourly","$7.642 hourly","$6.304 hourly","$14.24 hourly","$12.902 hourly","$30.56 hourly","$29.222 hourly","$4.698 hourly","$3.36 hourly","$11.296 hourly","$9.958 hourly","$27.616 hourly","$26.278 hourly","0","unavailable"
"C5 High-CPU Double Extra Large","c5.2xlarge","16.0 GiB","39 units","8 vCPUs","0","None","0 GiB","0","0","4.875 units","Intel Xeon Platinum 8124M","3 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","HVM","Yes","$0.340000 hourly","$0.214000 hourly","$0.47 hourly","$0.344 hourly","$0.44 hourly","$0.247 hourly","$0.708000 hourly","$0.582000 hourly","$0.843 hourly","$0.717 hourly","$1.668 hourly","$1.542 hourly","$3.708 hourly","$3.582 hourly","$0.475 hourly","$0.349 hourly","$1.3 hourly","$1.174 hourly","$3.34 hourly","$3.214 hourly","$0.00 hourly","$0.085 hourly"
"G4DN 16xlarge","g4dn.16xlarge","256.0 GiB","0 units","64 vCPUs","1","NVIDIA T4 Tensor Core","16 GiB","7.5","0","0 units","Intel Xeon Family","2.5 GHz","Yes","Yes","Yes","Yes","900 GiB               NVMe SSD","Yes","Yes","64-bit","50 Gigabit","9500.0 Mbps","1187.5 Mbps","40000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","$4.352000 hourly","$2.742000 hourly","$4.482 hourly","$2.872 hourly","$4.502 hourly","$2.802 hourly","$7.296000 hourly","$5.686000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"C5 High-CPU Double Extra Large","c5d.2xlarge","16.0 GiB","39 units","8 vCPUs","0","None","0 GiB","0","0","4.875 units","Intel Xeon Platinum 8124M","3 GHz","Yes","Yes","Yes","Yes","200 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","HVM","Yes","$0.384000 hourly","$0.242000 hourly","$0.514 hourly","$0.372 hourly","$0.484 hourly","$0.275 hourly","$0.752000 hourly","$0.610000 hourly","$0.887 hourly","$0.745 hourly","$1.712 hourly","$1.57 hourly","$3.752 hourly","$3.61 hourly","$0.519 hourly","$0.377 hourly","$1.344 hourly","$1.202 hourly","$3.384 hourly","$3.242 hourly","0","$0.096 hourly"
"Z1D Double Extra Large","z1d.2xlarge","64.0 GiB","45 units","8 vCPUs","0","None","0 GiB","0","0","5.625 units","Intel Xeon Platinum 8151","4 GHz","Yes","Yes","Yes","Yes","300 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","3170.0 Mbps","396.25 Mbps","13333.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","HVM","Yes","$0.744000 hourly","$0.469000 hourly","$0.874 hourly","$0.599 hourly","$0.894 hourly","$0.529 hourly","$1.112000 hourly","$0.837000 hourly","$1.247 hourly","$0.972 hourly","$2.072 hourly","$1.797 hourly","$4.112 hourly","$3.837 hourly","$0.879 hourly","$0.604 hourly","$1.704 hourly","$1.429 hourly","$3.744 hourly","$3.469 hourly","0","$0.186 hourly"
"R5 Eight Extra Large","r5.8xlarge","256.0 GiB","128 units","32 vCPUs","0","None","0 GiB","0","0","4 units","Intel Xeon Platinum 8175 (Skylake)","3.1 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","10 Gigabit","6800.0 Mbps","850.0 Mbps","30000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","HVM","No","$2.016000 hourly","$1.270000 hourly","$2.146 hourly","$1.4 hourly","$2.166 hourly","$1.33 hourly","$3.488000 hourly","$2.742000 hourly","$4.029 hourly","$3.283 hourly","$7.328 hourly","$6.582 hourly","$15.488 hourly","$14.742 hourly","$2.557 hourly","$1.811 hourly","$5.856 hourly","$5.11 hourly","$14.016 hourly","$13.27 hourly","0","unavailable"
"D3 Eight Extra Large","d3.8xlarge","256.0 GiB","0 units","32 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","Yes","Yes","Yes","Yes","47520 GiB               (24 * 1980 GiB HDD)","Yes","N/A","64-bit","25 Gigabit","25000.0 Mbps","3125.0 Mbps","30000.0 IOPS","Yes","60","3","Yes","Yes","Yes","No","Unknown","No","$3.995520 hourly","$2.517180 hourly","$4.12552 hourly","$2.64718 hourly","$4.14552 hourly","$2.57718 hourly","$5.467520 hourly","$3.989180 hourly","$6.00832 hourly","$4.52998 hourly","$9.30752 hourly","$7.82918 hourly","$17.46752 hourly","$15.98918 hourly","$4.53632 hourly","$3.05798 hourly","$7.83552 hourly","$6.35718 hourly","$15.99552 hourly","$14.51718 hourly","0","unavailable"
"M5 General Purpose Extra Large","m5.xlarge","16.0 GiB","16 units","4 vCPUs","0","None","0 GiB","0","0","4 units","Intel Xeon Platinum 8175 (Skylake)","3.1 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 Mbps","18750.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","HVM","Yes","$0.192000 hourly","$0.121000 hourly","$0.252 hourly","$0.181 hourly","$0.292 hourly","$0.154 hourly","$0.376000 hourly","$0.305000 hourly","$0.444 hourly","$0.373 hourly","$0.856 hourly","$0.785 hourly","$1.876 hourly","$1.805 hourly","$0.26 hourly","$0.189 hourly","$0.672 hourly","$0.601 hourly","$1.692 hourly","$1.621 hourly","0","$0.048 hourly"
"C5N 9xlarge","c5n.9xlarge","96.0 GiB","139 units","36 vCPUs","0","None","0 GiB","0","0","3.861 units","Intel Xeon Platinum 8124M","3 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","50 Gigabit","9500.0 Mbps","1187.5 Mbps","40000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","Yes","$1.944000 hourly","$1.225000 hourly","$2.074 hourly","$1.355 hourly","$2.094 hourly","$1.285 hourly","$3.600000 hourly","$2.881000 hourly","$4.208 hourly","$3.489 hourly","$7.92 hourly","$7.201 hourly","$17.1 hourly","$16.381 hourly","$2.552 hourly","$1.833 hourly","$6.264 hourly","$5.545 hourly","$15.444 hourly","$14.725 hourly","0","$0.270 hourly"
"C5 High-CPU Extra Large","c5.xlarge","8.0 GiB","20 units","4 vCPUs","0","None","0 GiB","0","0","5 units","Intel Xeon Platinum 8124M","3 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","HVM","Yes","$0.170000 hourly","$0.107000 hourly","$0.23 hourly","$0.167 hourly","$0.27 hourly","$0.14 hourly","$0.354000 hourly","$0.291000 hourly","$0.422 hourly","$0.359 hourly","$0.834 hourly","$0.771 hourly","$1.854 hourly","$1.791 hourly","$0.238 hourly","$0.175 hourly","$0.65 hourly","$0.587 hourly","$1.67 hourly","$1.607 hourly","$0.00 hourly","$0.043 hourly"
"G4DN Metal","g4dn.metal","384.0 GiB","0 units","96 vCPUs","8","NVIDIA T4 Tensor Core","128 GiB","7.5","0","0 units","Intel Xeon Family","2.5 GHz","Yes","Yes","Yes","Yes","1800 GiB               (2 * 900 GiB NVMe SSD)","Yes","Yes","64-bit","100 Gigabit","19000.0 Mbps","2375.0 Mbps","80000.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","Unknown","No","$7.824000 hourly","$4.929000 hourly","$7.954 hourly","$5.059 hourly","$7.974 hourly","$4.989 hourly","$12.240000 hourly","$9.345000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"D3EN 12xlarge","d3en.12xlarge","192.0 GiB","0 units","48 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","Yes","Yes","Yes","Yes","335520 GiB               (24 * 13980 GiB HDD)","Yes","N/A","64-bit","75 Gigabit","50000.0 Mbps","6250.0 Mbps","40000.0 IOPS","Yes","90","3","Yes","Yes","Yes","No","Unknown","No","$6.308640 hourly","$3.974440 hourly","$6.43864 hourly","$4.10444 hourly","$6.45864 hourly","$4.03444 hourly","$8.516640 hourly","$6.182440 hourly","$9.32784 hourly","$6.99364 hourly","$14.27664 hourly","$11.94244 hourly","$26.51664 hourly","$24.18244 hourly","$7.11984 hourly","$4.78564 hourly","$12.06864 hourly","$9.73444 hourly","$24.30864 hourly","$21.97444 hourly","0","unavailable"
"D3 Quadruple Extra Large","d3.4xlarge","128.0 GiB","0 units","16 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","Yes","Yes","Yes","Yes","23760 GiB               (12 * 1980 GiB HDD)","Yes","N/A","64-bit","Up to 15 Gigabit","15000.0 Mbps","1875.0 Mbps","15000.0 IOPS","Yes","40","4","Yes","Yes","Yes","No","Unknown","No","$1.998000 hourly","$1.259000 hourly","$2.128 hourly","$1.389 hourly","$2.148 hourly","$1.319 hourly","$2.734000 hourly","$1.995000 hourly","$3.004 hourly","$2.265 hourly","$4.654 hourly","$3.915 hourly","$8.734 hourly","$7.995 hourly","$2.268 hourly","$1.529 hourly","$3.918 hourly","$3.179 hourly","$7.998 hourly","$7.259 hourly","0","unavailable"
"D3 Double Extra Large","d3.2xlarge","64.0 GiB","0 units","8 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","Yes","Yes","Yes","Yes","11880 GiB               (6 * 1980 GiB HDD)","Yes","N/A","64-bit","Up to 15 Gigabit","15000.0 Mbps","1875.0 Mbps","15000.0 IOPS","Yes","20","4","Yes","Yes","Yes","No","Unknown","No","$0.999000 hourly","$0.629000 hourly","$1.129 hourly","$0.759 hourly","$1.149 hourly","$0.689 hourly","$1.367000 hourly","$0.997000 hourly","$1.502 hourly","$1.132 hourly","$2.327 hourly","$1.957 hourly","$4.367 hourly","$3.997 hourly","$1.134 hourly","$0.764 hourly","$1.959 hourly","$1.589 hourly","$3.999 hourly","$3.629 hourly","0","unavailable"
"M5ZN 12xlarge","m5zn.12xlarge","192.0 GiB","0 units","48 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8252","4.5 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","100 Gigabit","19000.0 Mbps","2375.0 Mbps","80000.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","Unknown","No","$3.964100 hourly","$2.497400 hourly","$4.0941 hourly","$2.6274 hourly","$4.1141 hourly","$2.5574 hourly","$6.172100 hourly","$4.705400 hourly","$6.9833 hourly","$5.5166 hourly","$11.9321 hourly","$10.4654 hourly","$24.1721 hourly","$22.7054 hourly","$4.7753 hourly","$3.3086 hourly","$9.7241 hourly","$8.2574 hourly","$21.9641 hourly","$20.4974 hourly","0","unavailable"
"M5 General Purpose Quadruple Extra Large","m5d.4xlarge","64.0 GiB","70 units","16 vCPUs","0","None","0 GiB","0","0","4.375 units","Intel Xeon Platinum 8175 (Skylake)","3.1 GHz","Yes","Yes","Yes","Yes","600 GiB               (2 * 300 GiB NVMe SSD)","Yes","Yes","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 Mbps","18750.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","HVM","Yes","$0.904000 hourly","$0.570000 hourly","$1.034 hourly","$0.7 hourly","$1.004 hourly","$0.603 hourly","$1.640000 hourly","$1.306000 hourly","$1.91 hourly","$1.576 hourly","$3.56 hourly","$3.226 hourly","$7.64 hourly","$7.306 hourly","$1.174 hourly","$0.84 hourly","$2.824 hourly","$2.49 hourly","$6.904 hourly","$6.57 hourly","0","$0.226 hourly"
"R5 16xlarge","r5.16xlarge","512.0 GiB","256 units","64 vCPUs","0","None","0 GiB","0","0","4 units","Intel Xeon Platinum 8175 (Skylake)","3.1 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","20 Gigabit","13600.0 Mbps","1700.0 Mbps","60000.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","HVM","No","$4.032000 hourly","$2.540000 hourly","$4.162 hourly","$2.67 hourly","$4.182 hourly","$2.6 hourly","$6.976000 hourly","$5.484000 hourly","$8.058 hourly","$6.566 hourly","$14.656 hourly","$13.164 hourly","$30.976 hourly","$29.484 hourly","$5.114 hourly","$3.622 hourly","$11.712 hourly","$10.22 hourly","$28.032 hourly","$26.54 hourly","0","unavailable"
"T3 Extra Large","t3.xlarge","16.0 GiB","Base performance:                 160%","4 vCPUs                                                   for a                 9h 36m                 burst","0","None","0 GiB","0","0","Burstable","Intel Skylake E5 2686 v5","3.1 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 5 Gigabit","2780.0 Mbps","347.5 Mbps","15700.0 IOPS","Yes","60","4","No","Yes","Yes","No","Unknown","No","$0.166400 hourly","$0.104300 hourly","$0.2264 hourly","$0.1643 hourly","$0.2914 hourly","$0.1543 hourly","$0.240000 hourly","$0.177900 hourly","$0.3076 hourly","$0.2455 hourly","$0.72 hourly","$0.6579 hourly","$1.74 hourly","$1.6779 hourly","$0.234 hourly","$0.1719 hourly","$0.6464 hourly","$0.5843 hourly","$1.6664 hourly","$1.6043 hourly","0","unavailable"
"Z1D 12xlarge","z1d.12xlarge","384.0 GiB","235 units","48 vCPUs","0","None","0 GiB","0","0","4.896 units","Intel Xeon Platinum 8151","4 GHz","Yes","Yes","Yes","Yes","1800 GiB               (2 * 900 GiB NVMe SSD)","Yes","Yes","64-bit","25 Gigabit","19000.0 Mbps","2375.0 Mbps","80000.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","HVM","Yes","$4.464000 hourly","$2.812000 hourly","$4.594 hourly","$2.942 hourly","$4.614 hourly","$2.872 hourly","$6.672000 hourly","$5.020000 hourly","$7.483 hourly","$5.832 hourly","$12.432 hourly","$10.78 hourly","$24.672 hourly","$23.02 hourly","$5.275 hourly","$3.624 hourly","$10.224 hourly","$8.572 hourly","$22.464 hourly","$20.812 hourly","0","$0.270 hourly"
"R5 12xlarge","r5.12xlarge","384.0 GiB","168 units","48 vCPUs","0","None","0 GiB","0","0","3.5 units","Intel Xeon Platinum 8175 (Skylake)","3.1 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","10 Gigabit","9500.0 Mbps","1187.5 Mbps","40000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","HVM","Yes","$3.024000 hourly","$1.905000 hourly","$3.154 hourly","$2.035 hourly","$3.174 hourly","$1.965 hourly","$5.232000 hourly","$4.113000 hourly","$6.043 hourly","$4.924 hourly","$10.992 hourly","$9.873 hourly","$23.232 hourly","$22.113 hourly","$3.835 hourly","$2.716 hourly","$8.784 hourly","$7.665 hourly","$21.024 hourly","$19.905 hourly","0","$0.270 hourly"
"Z1D 6xlarge","z1d.6xlarge","192.0 GiB","116 units","24 vCPUs","0","None","0 GiB","0","0","4.833 units","Intel Xeon Platinum 8151","4 GHz","Yes","Yes","Yes","Yes","900 GiB               NVMe SSD","Yes","Yes","64-bit","10 Gigabit","9500.0 Mbps","1187.5 Mbps","40000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","HVM","Yes","$2.232000 hourly","$1.406000 hourly","$2.362 hourly","$1.536 hourly","$2.382 hourly","$1.466 hourly","$3.336000 hourly","$2.510000 hourly","$3.742 hourly","$2.916 hourly","$6.216 hourly","$5.39 hourly","$12.336 hourly","$11.51 hourly","$2.638 hourly","$1.812 hourly","$5.112 hourly","$4.286 hourly","$11.232 hourly","$10.406 hourly","0","$0.270 hourly"
"R5D Quadruple Extra Large","r5d.4xlarge","128.0 GiB","70 units","16 vCPUs","0","None","0 GiB","0","0","4.375 units","Intel Xeon Platinum 8175 (Skylake)","3.1 GHz","Yes","Yes","Yes","Yes","600 GiB               (2 * 300 GiB NVMe SSD)","Yes","Yes","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 Mbps","18750.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","HVM","Yes","$1.152000 hourly","$0.726000 hourly","$1.282 hourly","$0.856 hourly","$1.302 hourly","$0.786 hourly","$1.888000 hourly","$1.462000 hourly","$2.158 hourly","$1.732 hourly","$3.808 hourly","$3.382 hourly","$7.888 hourly","$7.462 hourly","$1.422 hourly","$0.996 hourly","$3.072 hourly","$2.646 hourly","$7.152 hourly","$6.726 hourly","0","$0.270 hourly"
"M5ZN Double Extra Large","m5zn.2xlarge","32.0 GiB","0 units","8 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8252","4.5 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 25 Gigabit","3170.0 Mbps","396.25 Mbps","13333.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","$0.660700 hourly","$0.416200 hourly","$0.7907 hourly","$0.5462 hourly","$0.8107 hourly","$0.4762 hourly","$1.028700 hourly","$0.784200 hourly","$1.1639 hourly","$0.9194 hourly","$1.9887 hourly","$1.7442 hourly","$4.0287 hourly","$3.7842 hourly","$0.7959 hourly","$0.5514 hourly","$1.6207 hourly","$1.3762 hourly","$3.6607 hourly","$3.4162 hourly","0","unavailable"
"D3EN Quadruple Extra Large","d3en.4xlarge","64.0 GiB","0 units","16 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","Yes","Yes","Yes","Yes","111840 GiB               (8 * 13980 GiB HDD)","Yes","N/A","64-bit","25 Gigabit","25000.0 Mbps","3125.0 Mbps","15000.0 IOPS","Yes","40","4","Yes","Yes","Yes","No","Unknown","No","$2.103000 hourly","$1.325000 hourly","$2.233 hourly","$1.455 hourly","$2.253 hourly","$1.385 hourly","$2.839000 hourly","$2.061000 hourly","$3.109 hourly","$2.331 hourly","$4.759 hourly","$3.981 hourly","$8.839 hourly","$8.061 hourly","$2.373 hourly","$1.595 hourly","$4.023 hourly","$3.245 hourly","$8.103 hourly","$7.325 hourly","0","unavailable"
"I3EN Extra Large","i3en.xlarge","32.0 GiB","0 units","4 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8175 (Skylake)","3.1 GHz","Yes","Yes","Yes","Yes","2500 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 25 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","$0.452000 hourly","$0.308000 hourly","$0.512 hourly","$0.368 hourly","$0.577 hourly","$0.358 hourly","$0.636000 hourly","$0.492000 hourly","$0.704 hourly","$0.559 hourly","$1.116 hourly","$0.972 hourly","$2.136 hourly","$1.992 hourly","$0.52 hourly","$0.375 hourly","$0.932 hourly","$0.788 hourly","$1.952 hourly","$1.808 hourly","0","unavailable"
"M5ZN Large","m5zn.large","8.0 GiB","0 units","2 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8252","4.5 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 25 Gigabit","3170.0 Mbps","396.25 Mbps","13333.0 IOPS","Yes","30","3","Yes","Yes","Yes","No","Unknown","No","$0.165200 hourly","$0.104100 hourly","$0.2252 hourly","$0.1641 hourly","$0.2282 hourly","$0.1291 hourly","$0.257200 hourly","$0.196100 hourly","$0.3248 hourly","$0.2637 hourly","$0.7372 hourly","$0.6761 hourly","unavailable","unavailable","$0.2328 hourly","$0.1717 hourly","$0.6452 hourly","$0.5841 hourly","unavailable","unavailable","0","unavailable"
